down_at,press_duration_ms,preceding_age_ms,next_sample_ms,previous_raw,next_raw,offline_interpolated_click_raw,max_raw_during_press,path_to_next_sample_counts,net_to_next_sample_counts,bounded_slope_next_raw,first_floor_ms
2403053.3315094,112.75319987908006,3.222800325602293,12.76789978146553,359,548,397.091469257785,629,0.0,0.0,405.046526995222,12.76789978146553
2403053.7003142,114.63470011949539,5.185999907553196,12.792500201612711,348,521,397.90282718575054,625,0.0,0.0,382.0188839298921,12.792500201612711
2403054.0497457,128.52129992097616,3.437099978327751,14.553700108081102,358,560,396.59162417944435,630,0.0,0.0,404.1947762165704,14.553700108081102
2403054.3868829,97.93659998103976,3.208099864423275,14.784800354391336,367,582,405.33409080598153,622,0.0,0.0,420.0665286244501,14.784800354391336
2403054.7365901,88.77180004492402,3.2270001247525215,12.78579980134964,364,516,394.6319957300423,595,1.0,1.0,408.58181072528964,12.78579980134964
2403055.1075297,68.30320041626692,7.508399896323681,8.508000057190657,316,386,348.81561363777837,591,39.356451097651515,39.11521443121589,379.0,24.504300206899643
2403055.3218053,65.64569985494018,4.20930003747344,12.825699988752604,314,570,377.2568716133973,610,30.171732803158715,29.427877939124322,379.0,12.825699988752604
2403055.5147942,52.8241996653378,13.57170008122921,1.9393996335566044,314,391,381.37245749625947,584,3.23606797749979,3.1622776601683795,379.0,19.54689994454384
2403055.7017204,50.64440006390214,17.883399967104197,0.12880004942417145,313,399,398.38503879368903,557,1.0,1.0,379.0,14.191700145602226
2403055.8865992,52.2859999909997,3.553799819201231,14.444200322031975,376,512,402.8539155249863,527,12.0,12.0,439.1587565667652,14.444200322031975
2403056.0775503,57.398300152271986,7.586699910461903,8.418399840593338,352,381,365.7465121008627,567,5.414213562373095,5.0990195135927845,387.68430167013975,24.417399894446135
2403056.2563537,59.21109998598695,5.309300031512976,11.23919989913702,344,509,396.9373966746744,568,20.46284073991415,18.384776310850235,379.0,11.23919989913702
2403056.4405491,50.1785003580153,3.2726996578276157,14.793500304222107,383,535,410.534863393229,576,35.10808575956283,34.52535300326414,452.1552821711019,14.793500304222107
2403056.6245192,31.04860009625554,3.1856000423431396,12.834900058805943,319,440,343.0602729434066,440,1.4142135623730951,1.4142135623730951,379.0,12.834900058805943
2403056.7767195,60.15310017392039,5.752800032496452,10.248400270938873,313,398,343.5594576337637,592,7.656854249492381,7.0710678118654755,379.0,26.248800102621317
2403056.9603347,46.530399937182665,7.2695002891123295,8.734799921512604,315,384,346.3412966107541,502,0.0,0.0,379.0,26.75179997459054
2403057.1497169,65.18449960276484,13.626300264149904,3.3960998989641666,312,399,381.64283013096366,614,16.32455532033676,16.1245154965971,379.0,21.39989985153079
2403057.3432741,58.42769984155893,5.607400089502335,10.958899743855,314,592,408.0980931506979,608,11.65685424949238,10.770329614269007,379.0,10.958899743855
2403057.5339124,58.00880026072264,13.535099569708109,4.004500340670347,314,395,376.50673166710226,600,10.23606797749979,10.04987562112089,379.0,21.5597003698349
2403057.7512487,32.253199722617865,11.491000186651945,4.5058997347950935,361,377,372.4932270558207,377,0.0,0.0,404.04029619642796,
2403057.9312329,54.41420013085008,7.45509983971715,8.047400042414665,312,377,343.25828048804846,546,13.16227766016838,13.038404810405298,379.0,24.72619991749525
2403058.1386777,55.6453000754118,15.710500068962574,0.3917999565601349,313,380,378.3697610249517,530,2.0,2.0,379.0,16.27880008891225
2403058.332976,56.42489995807409,5.985999945551157,11.038499884307384,315,512,384.2673500577888,553,34.16227766016838,34.0147027033899,379.0,11.038499884307384
2403058.5314775,53.848599549382925,5.469100084155798,10.525899939239025,315,518,384.4108981218988,534,13.82842712474619,13.152946437965905,379.0,10.525899939239025
2403058.7255004,54.06280001625419,1.4882003888487816,16.506099607795477,398,555,410.98452627181007,572,33.35917360311745,33.06055050963308,482.5250979392391,16.506099607795477
2403058.9230138,51.17130000144243,15.895099844783545,1.5715002082288265,314,391,384.07217685947126,537,11.123105625617661,11.045361017187261,379.0,18.11830000951886
2403059.1188392,54.17799996212125,11.843800079077482,5.207299720495939,314,408,379.29298523378156,582,5.23606797749979,5.0990195135927845,379.0,21.27770008519292
2403059.3335032,68.55459976941347,9.26200021058321,8.732799906283617,314,381,348.48518516898775,550,18.35917360311745,18.110770276274835,379.0,24.73489986732602
2403059.5556113,60.847700107842684,13.223899994045496,2.7844002470374107,312,416,397.9107824484243,601,8.28538328578604,8.246211251235321,379.0,20.887500140815973
2403059.7639176,66.40980020165443,3.7449998781085014,12.253500055521727,319,558,374.9461808657729,616,24.039331962455623,23.08679276123039,379.0,12.253500055521727
2403059.9793578,60.4611998423934,3.1020999886095524,14.957900159060955,379,526,404.2496508636199,570,37.98498013394518,37.33630940518894,446.1679973160672,14.957900159060955
2403060.1845226,50.182000268250704,7.5205001048743725,8.475000038743019,315,469,387.40517681548,532,15.650281539872886,15.132745950421556,379.0,8.475000038743019
2403060.3957004,46.894699800759554,15.284700319170952,0.7026996463537216,313,402,398.0881526289238,533,6.0,6.0,379.0,17.265399917960167
2403060.604737,59.73829980939627,7.6905000023543835,8.312900085002184,313,393,351.444330381668,559,13.0,13.0,379.0,24.31829972192645
2403060.8095245,48.29690000042319,13.326499611139297,2.699000295251608,313,379,367.88433930129275,534,5.0,5.0,379.0,20.674800034612417
